ID_Empleado,Sexo,Fecha_Nacimiento,Puesto_Aerolinea,Fecha_Ingreso,Fecha_Salida,Costo_Salida,Costo_Contratacion,Encuesta_Salida,Motivo_Abandono
VAT-000001,Femenino,1985-02-20,Gerente de operaciones,2023-02-14,,0,27001,N/A,N/A
VAT-000002,Masculino,1986-02-17,Mecánico de aviones,2022-12-17,,0,21283,N/A,N/A
VAT-000003,Femenino,1994-02-20,Agente de servicio al cliente,2023-07-18,,0,12337,N/A,N/A
VAT-000004,Femenino,1962-12-19,Agente de servicio al cliente,2023-05-03,,0,29398,N/A,N/A
VAT-000005,Masculino,1963-05-14,Agente de servicio al cliente,2022-11-03,,0,23406,N/A,N/A
VAT-000006,Masculino,1973-05-03,Gerente de operaciones,2023-03-11,,0,28802,N/A,N/A
VAT-000007,Masculino,1986-11-28,Gerente de operaciones,2022-11-02,,0,27511,N/A,N/A
VAT-000008,Masculino,1966-01-23,Gerente de operaciones,2023-05-23,,0,19487,N/A,N/A
VAT-000009,Femenino,1969-08-07,Controlador de tráfico aéreo,2023-09-07,,0,24218,N/A,N/A
VAT-000010,Femenino,1969-10-07,Gerente de operaciones,2022-12-06,,0,23526,N/A,N/A
VAT-000011,Femenino,1980-10-07,Gerente de operaciones,2023-09-25,,0,18642,N/A,N/A
VAT-000012,Femenino,1973-11-17,Gerente de operaciones,2023-04-24,,0,24833,N/A,N/A
VAT-000013,Masculino,1978-04-07,Gerente de operaciones,2022-10-01,,0,11844,N/A,N/A
VAT-000014,Masculino,1982-07-16,Gerente de operaciones,2023-05-16,,0,17729,N/A,N/A
VAT-000015,Femenino,1973-04-16,Mecánico de aviones,2023-04-08,,0,15183,N/A,N/A
VAT-000016,Masculino,1999-12-22,Controlador de tráfico aéreo,2023-09-20,,0,14803,N/A,N/A
VAT-000017,Femenino,1978-06-26,Gerente de operaciones,2023-02-15,,0,23783,N/A,N/A
VAT-000018,Femenino,1975-09-10,Gerente de operaciones,2022-10-06,,0,12046,N/A,N/A
VAT-000019,Masculino,1969-04-11,Agente de servicio al cliente,2023-06-09,,0,14934,N/A,N/A
VAT-000020,Femenino,1959-01-16,Controlador de tráfico aéreo,2023-09-11,,0,14424,N/A,N/A
VAT-000021,Femenino,1970-09-19,Controlador de tráfico aéreo,2022-11-17,,0,18370,N/A,N/A
VAT-000022,Femenino,1984-11-06,Agente de servicio al cliente,2023-08-21,,0,16072,N/A,N/A
VAT-000023,Femenino,1983-07-05,Gerente de operaciones,2022-12-19,,0,15345,N/A,N/A
VAT-000024,Masculino,1963-09-25,Gerente de operaciones,2023-04-21,,0,28842,N/A,N/A
VAT-000025,Femenino,1960-02-25,Gerente de operaciones,2023-05-08,,0,19567,N/A,N/A
VAT-000026,Masculino,1980-04-09,Controlador de tráfico aéreo,2023-01-11,2023-05-26,15748,15015,Neutral,Mejor oferta laboral
VAT-000027,Masculino,1984-11-23,Gerente de operaciones,2023-04-01,,0,14658,N/A,N/A
VAT-000028,Femenino,1999-11-02,Piloto,2023-07-10,,0,19704,N/A,N/A
VAT-000029,Masculino,1986-08-19,Controlador de tráfico aéreo,2023-04-21,,0,18637,N/A,N/A
VAT-000030,Masculino,1989-04-11,Agente de servicio al cliente,2023-09-01,,0,10786,N/A,N/A
VAT-000031,Masculino,1999-06-17,Gerente de operaciones,2022-12-07,,0,24672,N/A,N/A
VAT-000032,Femenino,1966-02-02,Asistente de vuelo,2023-06-10,2024-04-02,18045,23060,Satisfecho,Cambio de carrera
VAT-000033,Femenino,1993-07-16,Gerente de operaciones,2022-10-24,,0,16056,N/A,N/A
VAT-000034,Femenino,1977-07-01,Asistente de vuelo,2022-10-16,,0,11835,N/A,N/A
VAT-000035,Femenino,1974-10-21,Mecánico de aviones,2023-05-18,,0,16197,N/A,N/A
VAT-000036,Femenino,1967-01-11,Agente de servicio al cliente,2023-07-15,,0,11088,N/A,N/A
VAT-000037,Masculino,1968-02-15,Agente de servicio al cliente,2023-01-03,2023-11-28,17971,12718,Neutral,Mejor oferta laboral
VAT-000038,Femenino,1983-05-26,Controlador de tráfico aéreo,2023-05-16,,0,21146,N/A,N/A
VAT-000039,Femenino,1979-05-21,Agente de servicio al cliente,2022-11-13,,0,14891,N/A,N/A
VAT-000040,Femenino,1997-06-10,Mecánico de aviones,2023-05-08,,0,21758,N/A,N/A
